sale_month,region_code,region_name,sale_count,active_clients,sold_volume_liters,sales_revenue_rub,weighted_price_rub_per_liter,average_sale_liters,average_sale_rub,month_name
2026-04,02,Республика Башкортостан,1028,225,37145.18,2302519.2027,61.98702503797262,36.133443579766535,2239.804671887159,Апрель
2026-04,16,Республика Татарстан,6267,1480,223109.87,14359548.9123,64.36088601683107,35.60074517312909,2291.2955022020105,Апрель
2026-04,23,Краснодарский край,2355,553,92248.91,6398417.4843,69.36035866765255,39.17151167728238,2716.9500994904456,Апрель
2026-04,24,Красноярский край,1987,507,72772.62,4968674.19,68.27669788445161,36.62436839456467,2500.59093608455,Апрель
2026-04,42,Кемеровская область,2036,504,74427.8,4932382.8185,66.27070554953929,36.55589390962672,2422.584881385069,Апрель
2026-04,47,Ленинградская область,2713,691,104072.31999999999,7312523.8993,70.2638693871723,38.360604496866934,2695.364503980833,Апрель
2026-04,50,Московская область,10701,2711,423336.74,29259673.4315,69.1167826149462,39.56048406690963,2734.293377394636,Апрель
2026-04,52,Нижегородская область,4443,1168,163712.24,11080545.1221,67.68305853062667,36.8472293495386,2493.9331807562457,Апрель
2026-04,54,Новосибирская область,3278,915,126374.55,8508704.5474,67.32925693820472,38.552333740085416,2595.69998395363,Апрель
2026-04,55,Омская область,1592,422,58478.69,3682069.2641,62.964291164867056,36.73284547738694,2312.857577952261,Апрель
2026-04,63,Самарская область,1773,431,64982.82,4209142.0161,64.77315105900297,36.65133671742809,2374.022569712352,Апрель
2026-04,66,Свердловская область,7270,1857,255981.6,17233208.611,67.32205990977477,35.210674002751034,2370.4551046767538,Апрель
2026-04,72,Тюменская область,1329,362,49260.56,3358133.8772,68.17084249955745,37.065884123401055,2526.8125486832205,Апрель
2026-04,74,Челябинская область,4404,1090,151197.66,9729127.2273,64.34707539323028,34.33189373297003,2209.1569544277927,Апрель
2026-04,77,Москва,14686,4028,607517.58,43273916.5399,71.23072313380626,41.36712379136593,2946.6101416246765,Апрель
2026-04,78,Санкт-Петербург,8937,2446,352411.36,25056807.4849,71.10102093445569,39.4328477117601,2803.715730659058,Апрель
2026-05,02,Республика Башкортостан,976,223,34666.68,2194901.6463,63.31444621463608,35.51913934426229,2248.874637602459,Май
2026-05,16,Республика Татарстан,6828,1526,245231.81,15891690.8965,64.80273051240783,35.915613649677795,2327.429832527827,Май
2026-05,23,Краснодарский край,2296,549,88582.87,6268360.733,70.7626737878328,38.5813893728223,2730.1222704703832,Май
2026-05,24,Красноярский край,2159,544,77864.95,5349468.3473000005,68.70187866684562,36.06528485409912,2477.7528241315426,Май
2026-05,42,Кемеровская область,2244,526,82326.8,5526600.4153,67.13002831763168,36.68752228163993,2462.8344096702317,Май
