sale_month,region_code,region_name,sale_count,active_clients,sold_volume_liters,sales_revenue_rub,weighted_price_rub_per_liter,average_sale_liters,average_sale_rub
2026-03,02,Республика Башкортостан,317,152,11227.73,658389.3565,58.63957865926594,35.418706624605676,2076.938033123028
2026-03,16,Республика Татарстан,1971,1050,68328.45,4388691.4459,64.22934291499368,34.66689497716895,2226.631885286656
2026-03,23,Краснодарский край,725,386,27132.48,1847418.2712,68.08880983971977,37.42411034482758,2548.1631326896554
2026-03,24,Красноярский край,644,362,23564.34,1607009.1784,68.19665555665892,36.5905900621118,2495.3558670807456
2026-03,42,Кемеровская область,787,396,28209.62,1865228.0809,66.1202838216183,35.844498094027955,2370.0483874205843
2026-03,47,Ленинградская область,850,487,32827.9,2279440.3832,69.4360706350391,38.62105882352942,2681.6945684705884
2026-03,50,Московская область,3768,1999,148182.51,10250303.6107,69.17350509651915,39.32656847133758,2720.3565845806793
2026-03,52,Нижегородская область,1335,767,47992.82,3239813.535,67.50621311687874,35.94967790262172,2426.8266179775283
2026-03,54,Новосибирская область,1262,702,48193.6,3252043.0049,67.47873171748947,38.18827258320127,2576.8962003961965
2026-03,55,Омская область,545,303,20010.829999999998,1229196.8482000001,61.42657991697497,36.71711926605504,2255.4070609174314
2026-03,63,Самарская область,561,295,20144.81,1308593.7441,64.95934903828827,35.908752228164,2332.6091695187165
2026-03,66,Свердловская область,2581,1380,89883.66,6084516.8035,67.69324706515066,34.825129794653236,2357.426115265401
2026-03,72,Тюменская область,486,269,18607.62,1265260.4386,67.99689796975647,38.28728395061728,2603.416540329218
2026-03,74,Челябинская область,1507,829,51364.83,3306604.472,64.37487424761261,34.08416058394161,2194.1635514266754
2026-03,77,Москва,4907,2847,201413.66,14328230.684700001,71.13832639107001,41.04619115549215,2919.9573435296516
2026-03,78,Санкт-Петербург,2711,1635,105878.24,7527486.6401,71.09569105134351,39.055049797122834,2776.645754371081
2026-04,02,Республика Башкортостан,1028,225,37145.18,2302519.2027,61.98702503797262,36.133443579766535,2239.804671887159
2026-04,16,Республика Татарстан,6267,1480,223109.87,14359548.9123,64.36088601683107,35.60074517312909,2291.2955022020105
2026-04,23,Краснодарский край,2355,553,92248.91,6398417.4843,69.36035866765255,39.17151167728238,2716.9500994904456
2026-04,24,Красноярский край,1987,507,72772.62,4968674.19,68.27669788445161,36.62436839456467,2500.59093608455
2026-04,42,Кемеровская область,2036,504,74427.8,4932382.8185,66.27070554953929,36.55589390962672,2422.584881385069
2026-04,47,Ленинградская область,2713,691,104072.31999999999,7312523.8993,70.2638693871723,38.360604496866934,2695.364503980833
2026-04,50,Московская область,10701,2711,423336.74,29259673.4315,69.1167826149462,39.56048406690963,2734.293377394636
2026-04,52,Нижегородская область,4443,1168,163712.24,11080545.1221,67.68305853062667,36.8472293495386,2493.9331807562457
2026-04,54,Новосибирская область,3278,915,126374.55,8508704.5474,67.32925693820472,38.552333740085416,2595.69998395363
2026-04,55,Омская область,1592,422,58478.69,3682069.2641,62.964291164867056,36.73284547738694,2312.857577952261
2026-04,63,Самарская область,1773,431,64982.82,4209142.0161,64.77315105900297,36.65133671742809,2374.022569712352
2026-04,66,Свердловская область,7270,1857,255981.6,17233208.611,67.32205990977477,35.210674002751034,2370.4551046767538
2026-04,72,Тюменская область,1329,362,49260.56,3358133.8772,68.17084249955745,37.065884123401055,2526.8125486832205
2026-04,74,Челябинская область,4404,1090,151197.66,9729127.2273,64.34707539323028,34.33189373297003,2209.1569544277927
2026-04,77,Москва,14686,4028,607517.58,43273916.5399,71.23072313380626,41.36712379136593,2946.6101416246765
2026-04,78,Санкт-Петербург,8937,2446,352411.36,25056807.4849,71.10102093445569,39.4328477117601,2803.715730659058
2026-05,02,Республика Башкортостан,976,223,34666.68,2194901.6463,63.31444621463608,35.51913934426229,2248.874637602459
2026-05,16,Республика Татарстан,6828,1526,245231.81,15891690.8965,64.80273051240783,35.915613649677795,2327.429832527827
2026-05,23,Краснодарский край,2296,549,88582.87,6268360.733,70.7626737878328,38.5813893728223,2730.1222704703832
2026-05,24,Красноярский край,2159,544,77864.95,5349468.3473000005,68.70187866684562,36.06528485409912,2477.7528241315426
2026-05,42,Кемеровская область,2244,526,82326.8,5526600.4153,67.13002831763168,36.68752228163993,2462.8344096702317
2026-05,47,Ленинградская область,2839,715,107089.68,7566928.6294,70.65973704842521,37.720915815427965,2665.349992743924
2026-05,50,Московская область,11839,2812,470499.37,32896118.1101,69.91745410859956,39.74147901005153,2778.62303489315
2026-05,52,Нижегородская область,4685,1193,171730.41999999998,11790830.646300001,68.65895189856289,36.655372465314834,2516.7194549199576
2026-05,54,Новосибирская область,3693,954,140416.25,9557080.803,68.06249848575217,38.02227186569185,2587.890821283509
2026-05,55,Омская область,1681,423,61657.39,3948201.9723,64.03452971817327,36.67899464604402,2348.7221726948246
2026-05,63,Самарская область,1962,439,70803.58,4645781.6921,65.61506765759584,36.087451580020385,2367.8805770132517
2026-05,66,Свердловская область,7650,1920,266873.11,18237421.128200002,68.33742495900019,34.88537385620915,2383.9766180653596
2026-05,72,Тюменская область,1456,375,53450.81,3671046.0711,68.68083142425718,36.71072115384615,2521.3228510302197
2026-05,74,Челябинская область,4735,1147,164317.68,10679465.7218,64.99279762104723,34.702783526927135,2255.430986652587
2026-05,77,Москва,16619,4186,676483.17,48808335.084,72.15010993399879,40.70540766592455,2936.8996380046933
2026-05,78,Санкт-Петербург,8898,2454,346373.02,24871215.6788,71.80471411659026,38.9270645088784,2795.1467384580806
2026-06,02,Республика Башкортостан,512,171,18147.46,1161613.6748,64.00971126537819,35.4442578125,2268.77670859375
2026-06,16,Республика Татарстан,5545,1451,193363.16,12797927.029099999,66.18596339188912,34.87162488728585,2308.0120882055903
