month,region_code,region_name,fuel_sale_count,active_clients,sold_volume_liters,sales_revenue_rub,weighted_price_rub_per_liter,average_sale_liters,average_sale_rub,month_name,fine_count,fined_clients,registration_region_name,client_days,clients_observed,client_month_exposure,violations_per_1000_clients,sold_volume_per_client
2026-04,02,Республика Башкортостан,1028,225,37145.18,2302519.2027,61.98702503797262,36.133443579766535,2239.804671887159,Апрель,156,70,Республика Башкортостан,8588,288,286.26666666666665,544.9464368886819,129.75726595249185
2026-04,16,Республика Татарстан,6267,1480,223109.87,14359548.9123,64.36088601683107,35.60074517312909,2291.2955022020105,Апрель,888,472,Республика Татарстан,53122,1791,1770.7333333333333,501.4871428033583,125.99857121343322
2026-04,23,Краснодарский край,2355,553,92248.91,6398417.4843,69.36035866765255,39.17151167728238,2716.9500994904456,Апрель,344,174,Краснодарский край,20163,684,672.1,511.8285969349799,137.25473887814314
2026-04,24,Красноярский край,1987,507,72772.62,4968674.19,68.27669788445161,36.62436839456467,2500.59093608455,Апрель,224,117,Красноярский край,21852,738,728.4,307.5233388248215,99.90749588138385
2026-04,42,Кемеровская область,2036,504,74427.8,4932382.8185,66.27070554953929,36.55589390962672,2422.584881385069,Апрель,168,102,Кемеровская область,19290,653,643.0,261.27527216174184,115.75085536547434
2026-04,47,Ленинградская область,2713,691,104072.31999999999,7312523.8993,70.2638693871723,38.360604496866934,2695.364503980833,Апрель,482,227,Ленинградская область,25127,848,837.5666666666667,575.4765789787878,124.25556572611134
2026-04,50,Московская область,10701,2711,423336.74,29259673.4315,69.1167826149462,39.56048406690963,2734.293377394636,Апрель,1866,887,Московская область,98629,3326,3287.633333333333,567.581542953898,128.766409473887
2026-04,52,Нижегородская область,4443,1168,163712.24,11080545.1221,67.68305853062667,36.8472293495386,2493.9331807562457,Апрель,373,236,Нижегородская область,41723,1410,1390.7666666666667,268.197397119095,117.71366392637154
2026-04,54,Новосибирская область,3278,915,126374.55,8508704.5474,67.32925693820472,38.552333740085416,2595.69998395363,Апрель,632,324,Новосибирская область,33925,1153,1130.8333333333333,558.879882092852,111.75347089167282
2026-04,55,Омская область,1592,422,58478.69,3682069.2641,62.964291164867056,36.73284547738694,2312.857577952261,Апрель,252,129,Омская область,14520,493,484.0,520.6611570247934,120.8237396694215
2026-04,63,Самарская область,1773,431,64982.82,4209142.0161,64.77315105900297,36.65133671742809,2374.022569712352,Апрель,240,132,Самарская область,14863,504,495.43333333333334,484.42440960775076,131.1636008881114
2026-04,66,Свердловская область,7270,1857,255981.6,17233208.611,67.32205990977477,35.210674002751034,2370.4551046767538,Апрель,843,483,Свердловская область,71276,2397,2375.866666666667,354.8178910152085,107.74240978730568
2026-04,72,Тюменская область,1329,362,49260.56,3358133.8772,68.17084249955745,37.065884123401055,2526.8125486832205,Апрель,238,117,Тюменская область,13465,456,448.8333333333333,530.2636464909024,109.752454511697
2026-04,74,Челябинская область,4404,1090,151197.66,9729127.2273,64.34707539323028,34.33189373297003,2209.1569544277927,Апрель,403,268,Челябинская область,40639,1372,1354.6333333333334,297.4974777922685,111.61519230296021
