offence_month,region_name,fine_count,active_clients,total_fine_amount_rub,average_fine_amount_rub,month_name,violations_per_fined_client
2026-04,Москва,2526,1379,2727933.32,1079.941931908155,Апрель,1.8317621464829588
2026-04,Московская область,2207,1267,1832166.66,830.161603987313,Апрель,1.7419100236779794
2026-04,Санкт-Петербург,1373,740,1213400.0,883.7581937363437,Апрель,1.8554054054054054
2026-04,Свердловская область,782,494,765849.96,979.3477749360613,Апрель,1.582995951417004
2026-04,Республика Татарстан,881,486,794800.0,902.1566401816118,Апрель,1.8127572016460904
2026-04,Челябинская область,410,290,375050.0,914.7560975609756,Апрель,1.4137931034482758
2026-04,Нижегородская область,335,238,312066.66,931.5422686567164,Апрель,1.4075630252100841
2026-04,Новосибирская область,640,345,617650.0,965.078125,Апрель,1.855072463768116
2026-04,Ленинградская область,555,364,514750.0,927.4774774774775,Апрель,1.5247252747252746
2026-04,Кемеровская область,209,129,224550.0,1074.401913875598,Апрель,1.62015503875969
2026-04,Красноярский край,181,109,199166.66,1100.3682872928177,Апрель,1.6605504587155964
2026-04,Краснодарский край,216,134,224250.0,1038.1944444444443,Апрель,1.6119402985074627
2026-04,Омская область,221,124,216300.0,978.7330316742082,Апрель,1.782258064516129
2026-04,Тюменская область,240,122,203500.0,847.9166666666666,Апрель,1.9672131147540983
2026-04,Самарская область,214,127,196400.0,917.7570093457944,Апрель,1.68503937007874
2026-04,Республика Башкортостан,143,76,125450.0,877.2727272727273,Апрель,1.881578947368421
2026-05,Москва,2948,1504,3015500.0,1022.8968792401628,Май,1.9601063829787233
2026-05,Московская область,3340,1737,2797316.66,837.5199580838324,Май,1.9228554979850316
2026-05,Санкт-Петербург,2048,961,1897249.98,926.391591796875,Май,2.13111342351717
2026-05,Свердловская область,1182,654,1344099.99,1137.1404314720812,Май,1.8073394495412844
2026-05,Республика Татарстан,1441,720,1335699.98,926.9257321304649,Май,2.001388888888889
2026-05,Челябинская область,373,247,340450.0,912.7345844504022,Май,1.5101214574898785
2026-05,Нижегородская область,458,289,431333.32,941.775807860262,Май,1.5847750865051904
2026-05,Новосибирская область,754,382,731500.0,970.159151193634,Май,1.9738219895287958
2026-05,Ленинградская область,679,448,602500.0,887.3343151693667,Май,1.515625
2026-05,Кемеровская область,234,159,244550.0,1045.08547008547,Май,1.471698113207547
2026-05,Красноярский край,202,138,227000.0,1123.7623762376238,Май,1.463768115942029
2026-05,Краснодарский край,403,180,469333.32,1164.5988089330026,Май,2.238888888888889
2026-05,Омская область,275,139,289250.0,1051.8181818181818,Май,1.9784172661870503
2026-05,Тюменская область,267,130,265200.0,993.2584269662922,Май,2.0538461538461537
2026-05,Самарская область,308,161,274016.64,889.6644155844157,Май,1.9130434782608696
2026-05,Республика Башкортостан,202,108,172500.0,853.960396039604,Май,1.8703703703703705
2026-06,Москва,4603,1963,4494933.33,976.5225570280252,Июнь,2.3448802852776365
2026-06,Московская область,3165,1652,2671366.66,844.0336998420222,Июнь,1.915859564164649
2026-06,Санкт-Петербург,1976,976,1816300.0,919.1801619433198,Июнь,2.0245901639344264
2026-06,Свердловская область,1142,653,1167766.65,1022.5627408056041,Июнь,1.7488514548238898
2026-06,Республика Татарстан,995,540,888816.66,893.2830753768844,Июнь,1.8425925925925926
2026-06,Челябинская область,382,270,395683.32,1035.8202094240837,Июнь,1.4148148148148147
2026-06,Нижегородская область,533,355,473350.0,888.0863039399625,Июнь,1.5014084507042254
2026-06,Новосибирская область,952,446,994200.0,1044.327731092437,Июнь,2.1345291479820627
2026-06,Ленинградская область,581,396,472250.0,812.8227194492255,Июнь,1.4671717171717171
2026-06,Кемеровская область,285,175,285500.0,1001.7543859649123,Июнь,1.6285714285714286
2026-06,Красноярский край,221,132,228566.66,1034.2382805429863,Июнь,1.6742424242424243
2026-06,Краснодарский край,278,137,297916.66,1071.6426618705036,Июнь,2.0291970802919708
2026-06,Омская область,276,137,288750.0,1046.195652173913,Июнь,2.0145985401459856
2026-06,Тюменская область,253,124,267150.0,1055.9288537549407,Июнь,2.0403225806451615
2026-06,Самарская область,272,151,246550.0,906.4338235294117,Июнь,1.8013245033112584
2026-06,Республика Башкортостан,176,97,143400.0,814.7727272727273,Июнь,1.8144329896907216
2026-07,Москва,4000,1809,3995300.0,998.825,Июль,2.211166390270868
2026-07,Московская область,3160,1713,2646400.0,837.4683544303797,Июль,1.8447168709865733
2026-07,Санкт-Петербург,1713,913,1495533.32,873.049223584355,Июль,1.8762322015334063
2026-07,Свердловская область,1205,704,1316350.0,1092.4066390041494,Июль,1.7116477272727273
2026-07,Республика Татарстан,1115,566,1003166.66,899.7010403587444,Июль,1.969964664310954
2026-07,Челябинская область,306,198,304700.0,995.7516339869281,Июль,1.5454545454545454
2026-07,Нижегородская область,531,336,497750.0,937.3822975517891,Июль,1.5803571428571428
2026-07,Новосибирская область,758,388,750916.66,990.6552242744064,Июль,1.9536082474226804
2026-07,Ленинградская область,609,426,490500.0,805.4187192118227,Июль,1.4295774647887325
2026-07,Кемеровская область,297,171,287466.66,967.901212121212,Июль,1.736842105263158
2026-07,Красноярский край,227,144,226766.66,998.9720704845815,Июль,1.5763888888888888
2026-07,Краснодарский край,138,71,143050.0,1036.5942028985507,Июль,1.943661971830986
