region_name,fine_count,fined_clients,violations_per_fined_client
Кемеровская область,1272,494,2.574898785425101
Краснодарский край,1045,337,3.1008902077151337
Красноярский край,1038,355,2.923943661971831
Ленинградская область,2921,1238,2.3594507269789986
Москва,14228,3614,3.936912008854455
Московская область,14404,4123,3.493572641280621
Нижегородская область,2291,860,2.6639534883720932
Новосибирская область,3802,954,3.9853249475890986
Омская область,1128,314,3.5923566878980893
Республика Башкортостан,917,333,2.7537537537537538
Республика Татарстан,5467,1335,4.095131086142322
Самарская область,1328,396,3.3535353535353534
Санкт-Петербург,8602,2162,3.978723404255319
Свердловская область,5483,1606,3.4140722291407224
Тюменская область,1096,289,3.792387543252595
Челябинская область,1740,720,2.4166666666666665
