label,kind,estimate,ci_low,ci_high,n,tost_p_005,equivalent_005,notes
Основная модель · 1 июня,main,0.012683815523974101,-0.0008479634511313096,0.026215594499079512,23467,3.268115740614328e-08,True,95% ДИ среднего изменения; TOST отдельно
Начало post: 18 мая,cutoff,0.06769993121039276,0.05358383088112342,0.0818160315396621,23467,0.9930047457639191,False,"95% ДИ среднего изменения; TOST отдельно; cutoff=2026-05-18; полных недель pre=6, post=15"
Начало post: 15 июня,cutoff,-0.04559705007141833,-0.05898502017896199,-0.03220907996387467,23467,0.2595919406042532,False,"95% ДИ среднего изменения; TOST отдельно; cutoff=2026-06-15; полных недель pre=10, post=11"
Без верхнего 1% по топливу,outlier,0.013933154913268603,0.00042457759333052424,0.02744173223320668,23232,8.401291317684987e-08,True,95% ДИ среднего изменения; TOST отдельно; исключены total liters > 1585.05
Без верхнего 1% по штрафам,outlier,0.011417146600818369,-0.000178680771914368,0.023012973973551107,23248,3.5462703903083994e-11,True,95% ДИ среднего изменения; TOST отдельно; исключены total fines > 25.00
Москва,region,0.09033162983767623,0.05512527889754781,0.12553798077780465,4879,0.9876208785140117,False,95% ДИ среднего изменения; TOST отдельно; kladr_code=77; top-5 region by cohort n=4879
Московская область,region,-0.002933507170795247,-0.0427844044092528,0.03691739006766231,3245,0.010318127980063763,True,95% ДИ среднего изменения; TOST отдельно; kladr_code=50; top-5 region by cohort n=3245
Санкт-Петербург,region,-0.00976410307091727,-0.05018032084083381,0.030652114698999276,2891,0.02551513197019318,True,95% ДИ среднего изменения; TOST отдельно; kladr_code=78; top-5 region by cohort n=2891
Свердловская область,region,0.05793069117186519,0.0199424546997718,0.09591892764395857,2351,0.6588533980251459,False,95% ДИ среднего изменения; TOST отдельно; kladr_code=66; top-5 region by cohort n=2351
Татарстан,region,-0.08376288659793808,-0.1288654860403028,-0.03866028715557337,1746,0.9288859471212094,False,95% ДИ среднего изменения; TOST отдельно; kladr_code=16; top-5 region by cohort n=1746
Сезонная поправка 2025 (DiD),seasonal_did,-0.14692950200945643,-0.17017192736759926,-0.1236870766513136,23467,,False,"(post-pre 2026) − (post-pre 2025), месячные частоты приведены к 30 дням"
