cluster,cluster_id,cluster_label,metric,metric_label,clients_compared,pre_mean,post_mean,mean_change,relative_change,paired_effect_size,p_value,q_value,is_new_pattern,direction
0,0,"Кластер 0: низкая топливная активность, один автомобиль",fuel_active_days_30d,число дней с заправками за 30 дней,2398,0.0023992596570201197,2.2846484389164887,2.282249179259469,951.230590062112,1.614402272715438,0.0,0.0,True,рост
0,0,"Кластер 0: низкая топливная активность, один автомобиль",fuel_tx_count_30d,число заправок за 30 дней,2398,0.0023992596570201197,2.6114153098596655,2.6090160502026456,1087.4254658385094,1.549196856064928,0.0,0.0,True,рост
0,0,"Кластер 0: низкая топливная активность, один автомобиль",fuel_spend_30d,расходы на топливо за 30 дней,2398,2.1179004135866646,6306.182867675055,6304.064967261468,2976.5634525683545,1.1463356165515328,0.0,0.0,True,рост
0,0,"Кластер 0: низкая топливная активность, один автомобиль",fuel_liters_30d,объём топлива за 30 дней,2398,0.03400607812446444,89.35249573920295,89.31848966107849,2626.5448586622383,1.0799776288919398,0.0,0.0,True,рост
2,2,"Кластер 2: новые автомобили, дорогой автопарк",fuel_spend_30d,расходы на топливо за 30 дней,10302,9049.076191621258,6186.334729166139,-2862.7414624551175,-0.31635731668452455,-0.3975279928493794,0.0,0.0,True,снижение
2,2,"Кластер 2: новые автомобили, дорогой автопарк",fuel_liters_30d,объём топлива за 30 дней,10302,127.1499018677049,84.77523612975108,-42.374665737953805,-0.3332654222733352,-0.42018997372022443,0.0,0.0,True,снижение
1,1,"Кластер 1: возрастные автомобили, доступный автопарк",fuel_liters_30d,объём топлива за 30 дней,8556,118.98068166535381,78.92273347460211,-40.05794819075168,-0.3366760690060513,-0.4455493318715158,0.0,0.0,True,снижение
1,1,"Кластер 1: возрастные автомобили, доступный автопарк",fuel_active_days_30d,число дней с заправками за 30 дней,8556,3.3162500720474934,2.212063235563144,-1.1041868364843495,-0.33296247644032795,-0.45690129118722533,0.0,0.0,True,снижение
2,2,"Кластер 2: новые автомобили, дорогой автопарк",fuel_avg_liters,средний объём одной заправки,9487,41.9979436961818,36.31074569898639,-5.687197997195413,-0.13541610604407897,-0.514856379928463,0.0,0.0,True,снижение
2,2,"Кластер 2: новые автомобили, дорогой автопарк",fuel_large_fill_share,доля крупных заправок от 50 л,9487,0.298509153246031,0.13008709393885892,-0.1684220593071721,-0.5642107033426838,-0.5391138116825052,0.0,0.0,True,снижение
1,1,"Кластер 1: возрастные автомобили, доступный автопарк",fuel_spend_30d,расходы на топливо за 30 дней,8556,7787.967050913561,5342.76565184996,-2445.2013990636015,-0.31397171855995065,-0.41928490824827996,2.9147610511876188e-303,1.324891386903463e-302,True,снижение
1,1,"Кластер 1: возрастные автомобили, доступный автопарк",fuel_avg_price,средняя цена литра,7811,66.30676906193592,68.56087200468976,2.2541029427538435,0.033995065279810686,0.4362886714122621,6.488463874698742e-298,2.703526614457809e-297,True,рост
1,1,"Кластер 1: возрастные автомобили, доступный автопарк",fuel_tx_count_30d,число заправок за 30 дней,8556,3.467645872158927,2.3799088359046285,-1.0877370362542986,-0.31368169540826923,-0.41135501600874147,8.106907821611576e-293,3.118041469850606e-292,True,снижение
2,2,"Кластер 2: новые автомобили, дорогой автопарк",fuel_active_days_30d,число дней с заправками за 30 дней,10302,2.9371873529012853,2.171444126509838,-0.7657432263914475,-0.2607062929217179,-0.3423621403929581,2.753446702941789e-250,9.833738224792104e-250,True,снижение
2,2,"Кластер 2: новые автомобили, дорогой автопарк",fuel_tx_count_30d,число заправок за 30 дней,10302,3.0859415514476507,2.3765224987971942,-0.7094190526504563,-0.22988739119756163,-0.2824443549310607,5.781270422695139e-174,1.9270901408983793e-173,True,снижение
1,1,"Кластер 1: возрастные автомобили, доступный автопарк",fuel_large_fill_share,доля крупных заправок от 50 л,7811,0.14798506822024235,0.0738932730447355,-0.07409179517550685,-0.500670750546521,-0.3201606147666059,9.076233400366472e-168,2.8363229376145225e-167,True,снижение
2,2,"Кластер 2: новые автомобили, дорогой автопарк",fuel_night_share,доля ночных заправок,9487,0.08476709246954243,0.14213022666822694,0.0573631341986845,0.6767146604597248,0.2653233308838592,2.2859817450907892e-142,6.723475720855262e-142,True,рост
2,2,"Кластер 2: новые автомобили, дорогой автопарк",fuel_avg_price,средняя цена литра,9487,71.3769883046555,73.1832209812302,1.8062326765747019,0.025305532209698067,0.24141948252966702,6.966403827954779e-119,1.935112174431883e-118,True,рост
1,1,"Кластер 1: возрастные автомобили, доступный автопарк",fuel_night_share,доля ночных заправок,7811,0.0974238320306707,0.15363770646188274,0.05621387443121204,0.5770033189981169,0.25084197226324356,1.170109808915404e-105,3.0792363392510633e-105,True,рост
3,3,"Кластер 3: несколько автомобилей, дорогой автопарк",fuel_large_fill_share,доля крупных заправок от 50 л,1671,0.3238190813518704,0.1512881988029057,-0.1725308825489647,-0.5328002347134327,-0.5468764878287498,4.723059863677243e-97,1.1807649659193107e-96,True,снижение
1,1,"Кластер 1: возрастные автомобили, доступный автопарк",fuel_avg_liters,средний объём одной заправки,7811,35.35186553710417,33.38153691072271,-1.9703286263814552,-0.055734785037396754,-0.21475217267141428,1.4431721115632e-78,3.436124075150476e-78,True,снижение
3,3,"Кластер 3: несколько автомобилей, дорогой автопарк",fuel_avg_liters,средний объём одной заправки,1671,42.678512606966144,36.81588121334879,-5.862631393617355,-0.13736728474132517,-0.47921008272610316,4.444324623319992e-77,1.010073778027271e-76,True,снижение
3,3,"Кластер 3: несколько автомобилей, дорогой автопарк",fuel_avg_price,средняя цена литра,1671,70.12254377201506,72.46932236715494,2.346778595139887,0.033466820638592604,0.40094645082262453,4.252965419844384e-56,8.8603446246758e-56,True,рост
3,3,"Кластер 3: несколько автомобилей, дорогой автопарк",fuel_liters_30d,объём топлива за 30 дней,2045,125.92461265364905,93.84947485914743,-32.075137794501615,-0.2547169859693997,-0.29316658914983823,1.5185954367873845e-38,2.7117775656917577e-38,True,снижение
3,3,"Кластер 3: несколько автомобилей, дорогой автопарк",fuel_spend_30d,расходы на топливо за 30 дней,2045,8827.425527032186,6778.022119182523,-2049.4034078496625,-0.23216320563382647,-0.264016726998375,8.215635863236754e-32,1.4164889419373714e-31,True,снижение
3,3,"Кластер 3: несколько автомобилей, дорогой автопарк",fuel_night_share,доля ночных заправок,1671,0.09295312552219258,0.14881195455082674,0.055858829028634156,0.6009354576818168,0.2600797907163216,1.3700615769568403e-25,2.283435961594734e-25,True,рост
3,3,"Кластер 3: несколько автомобилей, дорогой автопарк",fine_regions_count,число регионов со штрафами,2045,0.8312958435207825,1.0679706601466992,0.23667481662591688,0.2847058823529412,0.2236284076309294,1.7123016972539332e-23,2.761776931054731e-23,True,рост
