cluster_id,cluster_label,feature,rank,value,share
0,"Кластер 0: низкая топливная активность, один автомобиль",gender,1,M,0.8130909090909091
0,"Кластер 0: низкая топливная активность, один автомобиль",gender,2,F,0.18581818181818183
0,"Кластер 0: низкая топливная активность, один автомобиль",gender,3,__missing__,0.001090909090909091
0,"Кластер 0: низкая топливная активность, один автомобиль",age_type_code,1,A20,0.6130909090909091
0,"Кластер 0: низкая топливная активность, один автомобиль",age_type_code,2,A40,0.35963636363636364
0,"Кластер 0: низкая топливная активность, один автомобиль",age_type_code,3,A60,0.02181818181818182
0,"Кластер 0: низкая топливная активность, один автомобиль",age_type_code,4,A00,0.005454545454545455
0,"Кластер 0: низкая топливная активность, один автомобиль",home_region_code,1,77,0.17745454545454545
0,"Кластер 0: низкая топливная активность, один автомобиль",home_region_code,2,66,0.14145454545454544
0,"Кластер 0: низкая топливная активность, один автомобиль",home_region_code,3,50,0.12327272727272727
0,"Кластер 0: низкая топливная активность, один автомобиль",home_region_code,4,78,0.12145454545454545
0,"Кластер 0: низкая топливная активность, один автомобиль",home_region_code,5,16,0.06109090909090909
1,"Кластер 1: возрастные автомобили, доступный автопарк",gender,1,M,0.8055789473684211
1,"Кластер 1: возрастные автомобили, доступный автопарк",gender,2,F,0.19357894736842104
1,"Кластер 1: возрастные автомобили, доступный автопарк",gender,3,__missing__,0.0008421052631578948
1,"Кластер 1: возрастные автомобили, доступный автопарк",age_type_code,1,A20,0.6306315789473684
1,"Кластер 1: возрастные автомобили, доступный автопарк",age_type_code,2,A40,0.33757894736842103
1,"Кластер 1: возрастные автомобили, доступный автопарк",age_type_code,3,A60,0.025157894736842105
1,"Кластер 1: возрастные автомобили, доступный автопарк",age_type_code,4,A00,0.006526315789473684
1,"Кластер 1: возрастные автомобили, доступный автопарк",age_type_code,5,__missing__,0.00010526315789473685
1,"Кластер 1: возрастные автомобили, доступный автопарк",home_region_code,1,77,0.12873684210526315
1,"Кластер 1: возрастные автомобили, доступный автопарк",home_region_code,2,66,0.122
1,"Кластер 1: возрастные автомобили, доступный автопарк",home_region_code,3,50,0.118
1,"Кластер 1: возрастные автомобили, доступный автопарк",home_region_code,4,78,0.10494736842105264
1,"Кластер 1: возрастные автомобили, доступный автопарк",home_region_code,5,16,0.096
2,"Кластер 2: новые автомобили, дорогой автопарк",gender,1,M,0.8179812952179284
2,"Кластер 2: новые автомобили, дорогой автопарк",gender,2,F,0.18025410269984118
2,"Кластер 2: новые автомобили, дорогой автопарк",gender,3,__missing__,0.0017646020822304571
2,"Кластер 2: новые автомобили, дорогой автопарк",age_type_code,1,A20,0.5472913358037762
2,"Кластер 2: новые автомобили, дорогой автопарк",age_type_code,2,A40,0.4227986589024175
2,"Кластер 2: новые автомобили, дорогой автопарк",age_type_code,3,A60,0.02876301394035645
2,"Кластер 2: новые автомобили, дорогой автопарк",age_type_code,4,A00,0.0010587612493382743
2,"Кластер 2: новые автомобили, дорогой автопарк",age_type_code,5,__missing__,8.823010411152286e-05
2,"Кластер 2: новые автомобили, дорогой автопарк",home_region_code,1,77,0.26239632962766896
2,"Кластер 2: новые автомобили, дорогой автопарк",home_region_code,2,50,0.1514028586553732
2,"Кластер 2: новые автомобили, дорогой автопарк",home_region_code,3,78,0.14302099876477853
2,"Кластер 2: новые автомобили, дорогой автопарк",home_region_code,4,66,0.0749073583906829
2,"Кластер 2: новые автомобили, дорогой автопарк",home_region_code,5,16,0.061231692253396856
3,"Кластер 3: несколько автомобилей, дорогой автопарк",gender,1,M,0.8790052606408417
3,"Кластер 3: несколько автомобилей, дорогой автопарк",gender,2,F,0.11860353897656624
3,"Кластер 3: несколько автомобилей, дорогой автопарк",gender,3,__missing__,0.0023912003825920613
3,"Кластер 3: несколько автомобилей, дорогой автопарк",age_type_code,1,A20,0.5413677666188427
3,"Кластер 3: несколько автомобилей, дорогой автопарк",age_type_code,2,A40,0.43615494978479197
3,"Кластер 3: несколько автомобилей, дорогой автопарк",age_type_code,3,A60,0.021999043519846963
3,"Кластер 3: несколько автомобилей, дорогой автопарк",age_type_code,4,A00,0.00047824007651841227
3,"Кластер 3: несколько автомобилей, дорогой автопарк",home_region_code,1,77,0.2773792443806791
3,"Кластер 3: несколько автомобилей, дорогой автопарк",home_region_code,2,50,0.16451458632233382
3,"Кластер 3: несколько автомобилей, дорогой автопарк",home_region_code,3,78,0.11238641798182687
3,"Кластер 3: несколько автомобилей, дорогой автопарк",home_region_code,4,66,0.08751793400286945
3,"Кластер 3: несколько автомобилей, дорогой автопарк",home_region_code,5,16,0.06934481109516978
